Query,Parameter,Codigestion,TS,VS,VS_TS,SCOD,CN,N_NH4,Carbs,Protein,Lipid,ISR,CoSR,WorkVol,Temp,pH,HTR,OLR,VFAs
241,2023_Farouk et al.,No,260.8,248.99,95.47,51810,20.16,1855.7557,9930,980,2790.1748,60,0,0.4,37,6,4,6,24820
242,2023_Law et al.,No,42,38,90.48,8200,22.9508,997.7269,19031.2551,5849.6097,13016.1833,18.4733,0,5.5,35,6,4,6,4949
243,2023_Law et al.,No,54,52,96.3,10200,22.681,672.1071,24149.0494,9937.8386,11653.6158,18.7756,0,5.5,35,6,1.5,6,9698
244,2023_Law et al.,No,85,83,97.65,8800,23.8198,855.7297,36706.2351,10649.4908,9295.2593,15.55,0,5.5,35,6,7,6,7976
245,2023_Law et al.,No,84,82,97.62,9300,22.3464,841.495,39079.5168,10847.0511,9555.666,16.7641,0,5.5,35,6,1.5,6,7888
246,2023_Law et al.,No,43,41,95.35,8600,21.7149,1279.9059,21302.9607,2193.33,33076.9,19.5315,0,5.5,35,6,4,6,3061
265,2023_Quan et al.,No,156.92,148.26,94.48,85400,28.6,486.0187,58530,24040,28320,1.2,0,0.3,37,7,6.8058,7,14530
266,2023_Quan et al.,No,156.92,148.26,94.48,85400,28.6,479.1668,58530,24040,28320,1.2,0,0.3,37,7,6.8424,7,11950
267,2023_Quan et al.,No,156.92,148.26,94.48,85400,28.6,478.3603,58530,24040,28320,1.2,0,0.3,37,7,6.842,7,10800
268,2023_Quan et al.,No,156.92,148.26,94.48,85400,28.6,467.3096,58530,24040,28320,1.2,0,0.3,37,7,6.9008,7,9500
